         6032 function calls (5989 primitive calls) in 2.882 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:497(get_namespace)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:647(close)
        1    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       21    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:286(_is_owned)
       25    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/util.py:48(debug)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/tempfile.py:154(__next__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:654(terminate)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1381(_terminate_and_reset)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1863(_reset_run_tracking)
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/functools.py:35(update_wrapper)
       11    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:500(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/queues.py:339(__init__)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/uuid.py:721(uuid4)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:280(_release_save)
       40    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      2/1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_tags.py:367(get_tags)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/queue.py:34(__init__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/random.py:480(choices)
        4    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:225(isdtype)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:271(supported_float_dtypes)
        1    0.000    0.000    0.001    0.001 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/validation.py:1203(check_X_y)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/warnings.py:166(simplefilter)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/weakref.py:105(remove)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/contextlib.py:141(__exit__)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/connection.py:381(_send)
      3/2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:539(__sklearn_tags__)
       42    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:575(is_set)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/_config.py:214(config_context)
